Date,Returned to Transit Center,Off-shelf,On-shelf,Return to Load,Return Signed
9月9日,3160,590,1345,256,126
9月10日,3411,651,1009,259,641
9月11日,2187,763,726,337,256
9月12日,2697,483,965,199,155
9月13日,2674,108,75,231,153
9月14日,1999,113,103,489,488
9月15日,3276,903,2039,594,542
9月23日,3329,1734,688,64,45
9月24日,2486,179,1325,0,0
9月25日,3394,400,195,595,446
9月26日,2988,1650,1112,1007,800
9月27日,2115,77,370,0,0
9月28日,2463,155,107,20,16
9月29日,3504,795,1238,414,307
9月30日,2550,587,626,308,206
10月1日,4437,1439,721,1370,766
10月2日,4757,645,224,537,340
10月3日,4968,332,305,95,69
10月4日,3420,165,257,2,0
10月5日,4864,668,361,1097,766
10月6日,3471,763,574,562,292
